,Jm1,Jm2,T,Tx,Ty,Tz,h,ju1,ju2,layer,n,p,px,py,pz,up,x*,x1
49,,,,,,,,,,5.0000E+01 5.8230E+01 2.4902E-02 2.6068E-02 2.5084E-02 2.1750E-02 3.3769E-02 3.3464E-02 2.5570E-02 3.4087E-02 2.7454E-02 2.4947E-02 2.8833E-02 2.4221E-02 1.7152E-02 2.2207E-02 2.5504E-02 2.0231E-02 4.2379E-02 2.8106E-02 4.7774E-02 3.3496E-02,,,,,,,,
50,,,,,,,,,,5.1000E+01 5.9400E+01 1.5589E-02 2.1924E-02 2.3373E-02 2.5048E-02 3.1855E-02 3.6619E-02 4.2838E-02 1.8928E-02 2.4548E-02 3.4622E-02 2.7539E-02 3.9766E-02 3.1498E-02 3.7686E-02 3.2294E-02 3.5502E-02 2.5343E-02 6.0158E-02 5.5878E-02 5.3406E-02,,,,,,,,
51,,,,,,,,,,5.2000E+01 6.0580E+01 2.7939E-02 2.8314E-02 3.7347E-02 3.3632E-02 2.9689E-02 2.7682E-02 2.1045E-02 2.4912E-02 2.2315E-02 3.0225E-02 4.0019E-02 2.9108E-02 2.6391E-02 2.8056E-02 2.2330E-02 2.3360E-02 3.1748E-02 5.6353E-02 4.5566E-02 2.5177E-02,,,,,,,,
52,,,,,,,,,,5.3000E+01 6.1760E+01 1.5252E-02 2.0416E-02 2.8389E-02 4.1626E-02 2.1494E-02 4.2173E-02 2.3420E-02 3.1497E-02 3.3130E-02 3.1352E-02 2.8640E-02 2.2187E-02 2.8648E-02 2.9666E-02 4.0803E-02 3.0263E-02 2.0123E-02 2.9849E-02 2.3618E-02 4.6997E-02,,,,,,,,
53,,,,,,,,,,5.4000E+01 6.2930E+01 1.8262E-02 2.0038E-02 2.5400E-02 2.6169E-02 3.1294E-02 2.3178E-02 3.2003E-02 4.7500E-02 1.9180E-02 2.4492E-02 2.3364E-02 3.3958E-02 2.3262E-02 3.1916E-02 1.8479E-02 2.0900E-02 2.3478E-02 3.4379E-02 3.6825E-02 4.2617E-02,,,,,,,,
54,,,,,,,,,,5.5000E+01 6.4110E+01 2.2989E-02 2.1157E-02 1.8901E-02 4.2500E-02 2.3051E-02 3.0699E-02 4.7122E-02 3.8955E-02 3.4526E-02 2.5568E-02 3.0366E-02 2.1845E-02 3.7034E-02 3.3309E-02 2.2626E-02 2.1357E-02 4.3297E-02 1.2842E-02 3.3623E-02 3.3786E-02,,,,,,,,
55,,,,,,,,,,5.6000E+01 6.5280E+01 2.4330E-02 3.1546E-02 2.0340E-02 2.5594E-02 2.4910E-02 1.3686E-02 2.6144E-02 3.5676E-02 2.2707E-02 2.3475E-02 3.9563E-02 4.0479E-02 2.2673E-02 2.8954E-02 3.0223E-02 2.6855E-02 4.7818E-02 3.7387E-02 4.2734E-02 5.3945E-02,,,,,,,,
56,,,,,,,,,,5.7000E+01 6.6460E+01 2.7899E-02 3.5755E-02 3.1873E-02 2.8328E-02 2.5550E-02 2.2950E-02 2.6047E-02 3.2092E-02 4.1596E-02 2.4818E-02 3.8850E-02 5.1666E-02 1.8963E-02 3.0670E-02 2.7743E-02 2.3975E-02 2.0253E-02 1.2866E-02 3.5216E-02 3.1950E-02,,,,,,,,
57,,,,,,,,,,5.8000E+01 6.7640E+01 1.7347E-02 2.2468E-02 2.9894E-02 2.9281E-02 2.7462E-02 2.7648E-02 2.0418E-02 2.1844E-02 2.2588E-02 2.3064E-02 1.9630E-02 1.6221E-02 4.2661E-02 3.0410E-02 3.0700E-02 2.3313E-02 2.6863E-02 2.9654E-02 2.2070E-02 3.2982E-02,,,,,,,,
58,,,,,,,,,,5.9000E+01 6.8810E+01 3.5065E-02 2.7741E-02 3.8066E-02 3.1765E-02 3.3546E-02 2.0528E-02 1.6935E-02 2.2502E-02 3.2314E-02 4.7071E-02 2.5319E-02 2.0179E-02 3.3976E-02 4.0711E-02 3.2650E-02 2.1543E-02 2.3864E-02 3.3750E-02 2.5754E-02 2.3601E-02,,,,,,,,
59,,,,,,,,,,6.0000E+01 6.9990E+01 2.2066E-02 1.9089E-02 1.9239E-02 2.9831E-02 2.2047E-02 3.6238E-02 2.2772E-02 1.7894E-02 3.3076E-02 2.8762E-02 2.6344E-02 3.0178E-02 1.8336E-02 3.0397E-02 2.0892E-02 2.9238E-02 3.9384E-02 2.8907E-02 3.6944E-02 3.6822E-02,,,,,,,,
60,,,,,,,,,,6.1000E+01 7.1170E+01 3.2500E-02 1.8294E-02 3.1421E-02 2.6417E-02 2.8385E-02 3.2711E-02 3.2767E-02 1.7894E-02 1.9743E-02 3.1876E-02 2.6412E-02 2.3227E-02 3.5214E-02 1.1559E-02 2.5737E-02 3.2323E-02 3.6620E-02 3.6208E-02 2.5751E-02 2.6527E-02,,,,,,,,
61,,,,,,,,,,6.2000E+01 7.2340E+01 3.7196E-02 3.5257E-02 2.3519E-02 2.7534E-02 2.5766E-02 2.6286E-02 2.8920E-02 2.7519E-02 2.8515E-02 2.8999E-02 3.9930E-02 2.3861E-02 2.1554E-02 2.3870E-02 1.8157E-02 3.0917E-02 2.4219E-02 2.8519E-02 3.4957E-02 1.9213E-02,,,,,,,,
62,,,,,,,,,,6.3000E+01 7.3520E+01 2.1660E-02 2.5556E-02 2.2927E-02 3.2465E-02 1.5427E-02 1.6432E-02 2.5088E-02 3.5571E-02 2.3309E-02 2.5642E-02 1.8934E-02 2.8308E-02 1.4720E-02 2.6642E-02 2.6498E-02 3.5842E-02 2.7710E-02 2.4899E-02 3.1890E-02 3.7740E-02,,,,,,,,
63,,,,,,,,,,6.4000E+01 7.4690E+01 2.1817E-02 2.5892E-02 1.8272E-02 3.7565E-02 3.2780E-02 2.9156E-02 2.3552E-02 2.2302E-02 2.4231E-02 3.2164E-02 2.7137E-02 3.0482E-02 1.9019E-02 2.9916E-02 2.7636E-02 4.5803E-02 3.5860E-02 2.9479E-02 2.0121E-02 4.1401E-02,,,,,,,,
0,,,,,,,,,,1.0000E+00 5.8810E-01 1.3922E-01 1.4247E-01 8.5629E-02 1.1121E-01 7.7389E-02 1.0425E-01 1.4027E-01 6.1530E-02 1.0277E-01 8.7079E-02 6.7301E-02 8.3050E-02 8.5169E-02 9.9736E-02 9.1370E-02 8.4239E-02 9.1320E-02 7.6337E-02 6.6153E-02 1.1141E-01,,,,,,,,
1,,,,,,,,,,2.0000E+00 1.7640E+00 1.1456E-01 1.5212E-01 1.2325E-01 7.0205E-02 9.4388E-02 1.1461E-01 9.8761E-02 8.1488E-02 5.7385E-02 3.8283E-02 4.3930E-02 7.0075E-02 5.0338E-02 8.9187E-02 5.0587E-02 4.8482E-02 6.1613E-02 4.6950E-02 8.5446E-02 6.3794E-02,,,,,,,,
2,,,,,,,,,,3.0000E+00 2.9410E+00 1.6795E-01 2.1269E-01 1.2503E-01 1.3250E-01 1.2955E-01 1.1483E-01 6.2488E-02 8.2672E-02 6.6527E-02 4.7734E-02 2.8481E-02 3.4573E-02 6.4814E-02 7.7065E-02 7.2761E-02 5.0392E-02 6.1589E-02 6.3298E-02 3.1682E-02 6.5429E-02,,,,,,,,
3,,,,,,,,,,4.0000E+00 4.1170E+00 1.7144E-01 2.1801E-01 1.1320E-01 1.2124E-01 6.5979E-02 9.8935E-02 1.0126E-01 6.8205E-02 7.3364E-02 5.4303E-02 4.5315E-02 5.0757E-02 7.5123E-02 7.9876E-02 8.8618E-02 5.4143E-02 8.5764E-02 8.2903E-02 5.3457E-02 6.9176E-02,,,,,,,,
4,,,,,,,,,,5.0000E+00 5.2930E+00 1.5618E-01 1.5833E-01 1.3273E-01 1.1664E-01 8.2234E-02 9.9776E-02 8.7552E-02 5.6412E-02 7.1444E-02 5.2612E-02 6.9926E-02 6.1880E-02 9.8519E-02 7.3012E-02 5.8697E-02 7.6613E-02 7.4936E-02 7.2570E-02 6.0473E-02 7.1699E-02,,,,,,,,
5,,,,,,,,,,6.0000E+00 6.4700E+00 1.5799E-01 1.8241E-01 1.7522E-01 1.2036E-01 1.1278E-01 1.0033E-01 7.5936E-02 5.7753E-02 6.7849E-02 5.2067E-02 6.9690E-02 5.6820E-02 8.4340E-02 5.7920E-02 5.8288E-02 8.4105E-02 7.4629E-02 7.7038E-02 2.6908E-02 4.8272E-02,,,,,,,,
6,,,,,,,,,,7.0000E+00 7.6460E+00 1.4009E-01 1.5185E-01 1.7551E-01 1.2057E-01 1.1345E-01 1.1560E-01 7.1825E-02 6.7856E-02 6.8556E-02 9.7914E-02 5.2264E-02 6.0560E-02 6.6570E-02 7.9718E-02 6.4177E-02 9.0399E-02 5.5642E-02 4.9003E-02 6.8992E-02 6.0810E-02,,,,,,,,
7,,,,,,,,,,8.0000E+00 8.8220E+00 9.2008E-02 1.6564E-01 1.7716E-01 9.4902E-02 6.5405E-02 7.6555E-02 1.3482E-01 5.4594E-02 9.8529E-02 8.1892E-02 6.9393E-02 5.9388E-02 9.8876E-02 8.4836E-02 8.4660E-02 7.9814E-02 6.9708E-02 7.3246E-02 8.9899E-02 7.5629E-02,,,,,,,,
8,,,,,,,,,,9.0000E+00 9.9990E+00 6.0889E-02 1.8851E-01 2.0901E-01 9.9365E-02 6.4554E-02 9.7038E-02 1.3389E-01 7.7366E-02 8.4714E-02 4.9035E-02 1.1321E-01 4.2157E-02 5.6690E-02 7.9592E-02 4.7753E-02 4.3318E-02 6.1632E-02 8.7711E-02 6.7620E-02 5.9201E-02,,,,,,,,
9,,,,,,,,,,1.0000E+01 1.1170E+01 6.2935E-02 1.7667E-01 2.2292E-01 1.4842E-01 8.1468E-02 1.1341E-01 1.4835E-01 9.3256E-02 7.4194E-02 7.0733E-02 6.5354E-02 7.1816E-02 7.8760E-02 7.0950E-02 5.4206E-02 5.9277E-02 2.3191E-02 7.6625E-02 5.8074E-02 5.0488E-02,,,,,,,,
10,,,,,,,,,,1.1000E+01 1.2350E+01 6.4830E-02 1.2619E-01 2.3167E-01 1.8238E-01 5.3014E-02 7.7835E-02 1.1068E-01 1.0664E-01 6.8107E-02 9.9077E-02 6.0931E-02 8.1194E-02 1.1216E-01 8.6938E-02 9.4411E-02 5.1365E-02 5.3473E-02 7.6279E-02 9.2490E-02 4.8465E-02,,,,,,,,
11,,,,,,,,,,1.2000E+01 1.3530E+01 6.0018E-02 5.1190E-02 1.8938E-01 1.5802E-01 1.4012E-01 8.8549E-02 8.2434E-02 1.1683E-01 1.0801E-01 6.9382E-02 6.4161E-02 5.3340E-02 9.6834E-02 9.6443E-02 8.5306E-02 6.5531E-02 7.3679E-02 9.2193E-02 7.8544E-02 6.1192E-02,,,,,,,,
12,,,,,,,,,,1.3000E+01 1.4700E+01 5.9580E-02 4.8200E-02 1.8953E-01 1.8266E-01 1.4593E-01 1.0644E-01 1.0812E-01 1.5445E-01 1.1457E-01 6.9818E-02 8.1342E-02 6.9472E-02 8.3538E-02 1.0829E-01 7.9497E-02 1.1430E-01 7.5106E-02 8.0573E-02 7.1578E-02 8.5372E-02,,,,,,,,
13,,,,,,,,,,1.4000E+01 1.5880E+01 2.8469E-02 4.4856E-02 1.3270E-01 1.8398E-01 1.6904E-01 1.2638E-01 1.1854E-01 1.4971E-01 1.5229E-01 1.0649E-01 1.0223E-01 9.4284E-02 1.0990E-01 1.0067E-01 1.0616E-01 5.5898E-02 8.9350E-02 6.9784E-02 8.1909E-02 6.5988E-02,,,,,,,,
14,,,,,,,,,,1.5000E+01 1.7060E+01 7.1785E-02 4.0424E-02 1.1654E-01 1.9640E-01 1.5416E-01 1.3001E-01 7.0235E-02 1.1955E-01 1.3444E-01 1.1947E-01 7.5898E-02 1.0070E-01 8.6408E-02 6.7742E-02 1.1115E-01 7.3505E-02 1.1632E-01 5.6011E-02 9.7532E-02 4.2854E-02,,,,,,,,
15,,,,,,,,,,1.6000E+01 1.8230E+01 4.2790E-02 4.4281E-02 5.6045E-02 2.5135E-01 1.3592E-01 1.6007E-01 1.0850E-01 1.0296E-01 9.3301E-02 1.3618E-01 8.3653E-02 1.1318E-01 9.6292E-02 5.8919E-02 9.7944E-02 9.7701E-02 1.0555E-01 5.8183E-02 6.6605E-02 4.6708E-02,,,,,,,,
16,,,,,,,,,,1.7000E+01 1.9410E+01 4.0798E-02 4.8189E-02 5.1952E-02 2.1039E-01 1.0281E-01 1.7679E-01 1.5700E-01 3.0879E-02 9.1344E-02 1.1697E-01 1.1576E-01 1.2344E-01 8.9835E-02 8.2711E-02 4.5803E-02 8.7630E-02 1.1940E-01 3.4263E-02 5.3178E-02 7.1246E-02,,,,,,,,
17,,,,,,,,,,1.8000E+01 2.0590E+01 4.6052E-02 3.4723E-02 3.7517E-02 9.5998E-02 1.6207E-01 1.6916E-01 1.2998E-01 8.5550E-02 9.4038E-02 1.2364E-01 1.2321E-01 9.5228E-02 1.0015E-01 8.5366E-02 3.8554E-02 7.9081E-02 9.0994E-02 7.9604E-02 6.9036E-02 1.1267E-01,,,,,,,,
18,,,,,,,,,,1.9000E+01 2.1760E+01 4.4379E-02 2.7847E-02 4.3296E-02 5.7201E-02 1.5280E-01 1.5767E-01 1.3148E-01 1.2544E-01 8.0334E-02 1.2280E-01 1.3219E-01 8.7842E-02 1.3519E-01 6.9952E-02 7.4866E-02 9.2355E-02 7.5671E-02 7.3589E-02 7.9002E-02 7.1103E-02,,,,,,,,
19,,,,,,,,,,2.0000E+01 2.2940E+01 3.9938E-02 2.7744E-02 3.7147E-02 3.8737E-02 1.3078E-01 1.3019E-01 1.2913E-01 1.5083E-01 4.8484E-02 7.1124E-02 1.2525E-01 1.0046E-01 9.5221E-02 6.5048E-02 8.1835E-02 8.6928E-02 6.5782E-02 1.0502E-01 8.7775E-02 5.3300E-02,,,,,,,,
20,,,,,,,,,,2.1000E+01 2.4110E+01 5.2473E-02 3.4117E-02 3.0522E-02 5.9542E-02 6.0438E-02 1.6021E-01 1.3312E-01 1.1884E-01 7.7184E-02 5.1274E-02 1.1646E-01 1.0608E-01 6.5644E-02 6.9924E-02 7.9106E-02 4.3328E-02 9.9048E-02 9.0697E-02 5.5750E-02 7.5001E-02,,,,,,,,
21,,,,,,,,,,2.2000E+01 2.5290E+01 4.8209E-02 3.1406E-02 3.9127E-02 4.0162E-02 6.9590E-02 1.6405E-01 1.1383E-01 1.0815E-01 1.0914E-01 9.4338E-02 1.0308E-01 1.2827E-01 8.2108E-02 7.2716E-02 9.3495E-02 7.6438E-02 9.1936E-02 6.8917E-02 7.8925E-02 5.4120E-02,,,,,,,,
22,,,,,,,,,,2.3000E+01 2.6470E+01 2.6460E-02 3.9695E-02 5.0093E-02 2.8961E-02 4.8350E-02 1.3002E-01 9.4429E-02 8.9695E-02 1.3944E-01 1.2893E-01 1.0694E-01 1.1749E-01 9.2589E-02 7.7940E-02 9.3277E-02 1.0129E-01 6.6717E-02 7.9940E-02 1.1409E-01 2.1684E-02,,,,,,,,
23,,,,,,,,,,2.4000E+01 2.7640E+01 5.1747E-02 5.6401E-02 4.8150E-02 3.1699E-02 4.9106E-02 8.4479E-02 1.0243E-01 9.6641E-02 9.1777E-02 1.3171E-01 9.5114E-02 1.0400E-01 9.7297E-02 6.7470E-02 9.8580E-02 1.1749E-01 4.0272E-02 1.1305E-01 1.1015E-01 5.0289E-02,,,,,,,,
24,,,,,,,,,,2.5000E+01 2.8820E+01 3.8056E-02 4.6140E-02 6.3142E-02 4.5326E-02 5.2399E-02 8.4768E-02 1.4575E-01 1.0774E-01 9.1192E-02 1.2683E-01 8.6346E-02 9.0457E-02 1.0385E-01 4.7118E-02 1.0945E-01 9.0353E-02 6.3665E-02 1.0481E-01 9.8623E-02 7.6187E-02,,,,,,,,
25,,,,,,,,,,2.6000E+01 3.0000E+01 5.9096E-02 4.3023E-02 3.5847E-02 4.8233E-02 4.2456E-02 3.5194E-02 1.2139E-01 1.0445E-01 1.0119E-01 1.1649E-01 1.0094E-01 1.0985E-01 7.7796E-02 1.3305E-01 1.1203E-01 1.1646E-01 8.4747E-02 8.8160E-02 7.2492E-02 9.9294E-02,,,,,,,,
26,,,,,,,,,,2.7000E+01 3.1170E+01 6.2164E-02 5.0188E-02 4.2948E-02 4.1936E-02 2.8301E-02 3.5851E-02 8.7075E-02 1.2774E-01 9.5803E-02 9.7549E-02 6.9127E-02 8.9223E-02 1.2972E-01 1.4669E-01 9.5188E-02 9.7041E-02 8.5958E-02 8.2393E-02 5.9061E-02 1.1434E-01,,,,,,,,
27,,,,,,,,,,2.8000E+01 3.2350E+01 4.1429E-02 7.6986E-02 5.7657E-02 4.3211E-02 3.9205E-02 5.3525E-02 4.4083E-02 1.3492E-01 9.4796E-02 1.0241E-01 7.6223E-02 7.5643E-02 1.1137E-01 1.3651E-01 9.8698E-02 9.1766E-02 5.6341E-02 1.1748E-01 7.5620E-02 1.0240E-01,,,,,,,,
28,,,,,,,,,,2.9000E+01 3.3520E+01 4.6584E-02 6.7867E-02 6.9911E-02 5.8844E-02 6.6613E-02 5.1513E-02 5.7039E-02 1.3397E-01 6.2457E-02 9.7710E-02 8.0002E-02 9.1110E-02 1.1200E-01 1.4418E-01 8.6295E-02 9.6486E-02 9.6269E-02 1.4693E-01 9.9182E-02 7.1297E-02,,,,,,,,
29,,,,,,,,,,3.0000E+01 3.4700E+01 3.7125E-02 4.4497E-02 6.3847E-02 6.3248E-02 3.8297E-02 4.1859E-02 3.2475E-02 1.1047E-01 9.2172E-02 9.9825E-02 4.8436E-02 1.0355E-01 1.1364E-01 1.2116E-01 7.7490E-02 9.8514E-02 1.2260E-01 1.1961E-01 6.5300E-02 5.7312E-02,,,,,,,,
30,,,,,,,,,,3.1000E+01 3.5880E+01 3.2074E-02 3.3609E-02 4.7442E-02 8.2068E-02 3.0224E-02 3.3992E-02 4.8738E-02 8.3677E-02 1.0568E-01 1.0603E-01 8.5278E-02 1.1122E-01 1.2356E-01 1.2502E-01 9.9038E-02 1.0213E-01 7.1582E-02 7.5164E-02 6.4578E-02 6.3504E-02,,,,,,,,
31,,,,,,,,,,3.2000E+01 3.7050E+01 3.9848E-02 4.2799E-02 6.3197E-02 6.5589E-02 5.8351E-02 2.7983E-02 4.1329E-02 6.7134E-02 1.0212E-01 1.3938E-01 9.5835E-02 1.2019E-01 1.0104E-01 1.2481E-01 8.5582E-02 9.0966E-02 5.9255E-02 6.3444E-02 8.8563E-02 7.9927E-02,,,,,,,,
32,,,,,,,,,,3.3000E+01 3.8230E+01 4.5363E-02 4.4132E-02 3.6045E-02 5.0062E-02 7.0446E-02 2.3973E-02 5.2271E-02 5.6099E-02 1.0436E-01 1.2244E-01 5.7344E-02 8.6671E-02 7.8719E-02 1.1563E-01 6.0566E-02 5.4243E-02 3.7027E-02 6.0976E-02 8.6737E-02 6.8206E-02,,,,,,,,
33,,,,,,,,,,3.4000E+01 3.9410E+01 6.0409E-02 3.4078E-02 7.8596E-02 5.6051E-02 6.0136E-02 4.9569E-02 6.4253E-02 6.1339E-02 7.6053E-02 1.0351E-01 1.1353E-01 1.1203E-01 7.1852E-02 6.9714E-02 6.1245E-02 7.8347E-02 7.4787E-02 8.1812E-02 5.5461E-02 8.0922E-02,,,,,,,,
34,,,,,,,,,,3.5000E+01 4.0580E+01 6.0551E-02 5.1849E-02 4.5562E-02 5.0922E-02 5.4896E-02 3.2467E-02 5.7467E-02 7.7429E-02 5.7522E-02 4.9799E-02 1.5833E-01 1.0483E-01 1.3498E-01 1.2092E-01 8.0366E-02 1.1819E-01 9.1331E-02 7.2634E-02 5.6079E-02 7.7707E-02,,,,,,,,
35,,,,,,,,,,3.6000E+01 4.1760E+01 3.2348E-02 6.4494E-02 6.2065E-02 5.3557E-02 3.9726E-02 6.8863E-02 5.7490E-02 5.9987E-02 6.5538E-02 4.6320E-02 1.6201E-01 1.0931E-01 1.2678E-01 9.8466E-02 7.8552E-02 1.0590E-01 9.4360E-02 1.0112E-01 8.9390E-02 6.5730E-02,,,,,,,,
36,,,,,,,,,,3.7000E+01 4.2930E+01 3.6948E-02 2.7781E-02 6.0316E-02 5.0592E-02 5.0115E-02 6.1057E-02 4.4499E-02 5.3746E-02 6.7971E-02 3.7693E-02 1.4520E-01 6.7381E-02 9.2061E-02 1.2505E-01 7.1556E-02 1.0066E-01 7.4761E-02 1.2808E-01 1.2093E-01 5.7842E-02,,,,,,,,
37,,,,,,,,,,3.8000E+01 4.4110E+01 6.4917E-02 3.5287E-02 6.0001E-02 4.5254E-02 2.9532E-02 3.7231E-02 5.5029E-02 7.6453E-02 6.3062E-02 4.4605E-02 9.2480E-02 1.0185E-01 9.1227E-02 1.2848E-01 8.2402E-02 1.0500E-01 1.2380E-01 9.0763E-02 5.8057E-02 1.2850E-01,,,,,,,,
38,,,,,,,,,,3.9000E+01 4.5290E+01 5.9015E-02 4.1864E-02 6.0362E-02 2.1269E-02 2.7357E-02 3.8520E-02 2.3697E-02 7.0082E-02 7.4122E-02 3.7333E-02 4.7335E-02 1.0214E-01 1.0340E-01 1.3282E-01 1.2023E-01 9.5870E-02 1.3983E-01 7.1000E-02 5.0614E-02 1.5465E-01,,,,,,,,
39,,,,,,,,,,4.0000E+01 4.6460E+01 2.0785E-02 5.1537E-02 5.0626E-02 5.0535E-02 2.3618E-02 2.9455E-02 3.5911E-02 5.7780E-02 5.5950E-02 3.8260E-02 4.0783E-02 6.4155E-02 1.1290E-01 1.1733E-01 8.9340E-02 5.1952E-02 1.2542E-01 4.8225E-02 7.4434E-02 1.1095E-01,,,,,,,,
40,,,,,,,,,,4.1000E+01 4.7640E+01 1.9460E-02 5.4126E-02 5.3697E-02 4.8545E-02 5.1523E-02 3.2460E-02 3.3096E-02 6.1962E-02 6.2922E-02 4.3007E-02 3.9139E-02 4.1282E-02 1.3376E-01 9.2465E-02 9.1522E-02 8.7233E-02 1.0628E-01 4.4444E-02 6.3802E-02 8.1168E-02,,,,,,,,
41,,,,,,,,,,4.2000E+01 4.8820E+01 5.5725E-02 4.3429E-02 4.9085E-02 5.8668E-02 5.2332E-02 5.8269E-02 5.6594E-02 4.6116E-02 6.4668E-02 4.9286E-02 5.6704E-02 5.0308E-02 1.0924E-01 1.2147E-01 1.0290E-01 1.0980E-01 9.4130E-02 5.2803E-02 9.3166E-02 8.1099E-02,,,,,,,,
42,,,,,,,,,,4.3000E+01 4.9990E+01 5.8637E-02 4.5976E-02 7.0512E-02 4.1334E-02 4.6964E-02 9.0909E-02 7.0496E-02 5.7161E-02 5.9597E-02 8.2440E-02 7.2938E-02 7.7158E-02 6.7826E-02 1.6508E-01 1.5589E-01 1.3535E-01 9.5424E-02 8.9685E-02 7.9451E-02 9.2949E-02,,,,,,,,
43,,,,,,,,,,4.4000E+01 5.1170E+01 5.9907E-02 3.1094E-02 6.6269E-02 4.8330E-02 5.1959E-02 8.2234E-02 5.6033E-02 4.0239E-02 3.2631E-02 5.0649E-02 3.9451E-02 9.1386E-02 5.6969E-02 1.3496E-01 1.6960E-01 9.7782E-02 1.1585E-01 1.4323E-01 9.7108E-02 7.9532E-02,,,,,,,,
44,,,,,,,,,,4.5000E+01 5.2350E+01 4.3970E-02 3.9375E-02 5.3411E-02 4.5600E-02 6.4359E-02 5.5720E-02 4.0361E-02 5.3325E-02 3.3998E-02 5.2628E-02 4.0290E-02 5.3672E-02 7.0421E-02 1.2426E-01 1.5722E-01 7.0518E-02 1.3691E-01 1.3325E-01 7.6221E-02 7.6268E-02,,,,,,,,
45,,,,,,,,,,4.6000E+01 5.3520E+01 5.7960E-02 6.2066E-02 4.4649E-02 3.0753E-02 6.7832E-02 4.5708E-02 6.6353E-02 6.4004E-02 2.4321E-02 6.1819E-02 6.6344E-02 4.7833E-02 6.7295E-02 8.3977E-02 1.4385E-01 9.9569E-02 1.5199E-01 1.0645E-01 1.0831E-01 1.0282E-01,,,,,,,,
46,,,,,,,,,,4.7000E+01 5.4700E+01 3.7084E-02 7.5236E-02 4.8583E-02 2.9105E-02 4.7225E-02 5.8784E-02 6.6164E-02 5.3801E-02 4.0125E-02 6.0744E-02 7.4048E-02 3.7530E-02 6.5680E-02 6.0678E-02 1.6036E-01 1.4156E-01 1.2553E-01 1.6101E-01 1.2558E-01 9.6746E-02,,,,,,,,
47,,,,,,,,,,4.8000E+01 5.5870E+01 3.7469E-02 4.7755E-02 7.3667E-02 5.2998E-02 3.1590E-02 6.7771E-02 5.7621E-02 3.1217E-02 3.3715E-02 3.5401E-02 4.5017E-02 7.6214E-02 8.6082E-02 6.8919E-02 1.0315E-01 1.1149E-01 8.8122E-02 1.4293E-01 1.1256E-01 5.1806E-02,,,,,,,,
48,,,,,,,,,,4.9000E+01 5.7050E+01 4.1133E-02 4.1012E-02 7.9102E-02 5.6501E-02 3.6991E-02 6.8520E-02 4.7985E-02 3.9195E-02 4.8326E-02 7.6035E-02 4.5984E-02 6.0327E-02 3.1331E-02 4.2418E-02 7.6015E-02 1.3908E-01 1.0190E-01 8.9169E-02 9.3916E-02 7.6094E-02,,,,,,,,
49,,,,,,,,,,5.0000E+01 5.8230E+01 4.2434E-02 5.2661E-02 5.0949E-02 3.1503E-02 3.7143E-02 4.5004E-02 5.3157E-02 6.7564E-02 4.4965E-02 6.8089E-02 4.9319E-02 5.6162E-02 4.8404E-02 3.7448E-02 8.6690E-02 1.1287E-01 1.0464E-01 9.2645E-02 1.3240E-01 1.1405E-01,,,,,,,,
50,,,,,,,,,,5.1000E+01 5.9400E+01 4.8041E-02 7.2873E-02 6.4724E-02 3.2842E-02 3.7625E-02 2.3881E-02 6.0640E-02 7.9846E-02 3.7780E-02 4.2311E-02 5.2129E-02 6.6727E-02 4.7408E-02 5.2956E-02 8.8943E-02 5.4357E-02 1.7940E-01 1.1684E-01 1.8170E-01 1.0214E-01,,,,,,,,
51,,,,,,,,,,5.2000E+01 6.0580E+01 5.5016E-02 6.2180E-02 8.0301E-02 3.6887E-02 5.6738E-02 3.9769E-02 5.4059E-02 4.5587E-02 4.3223E-02 4.9571E-02 5.4176E-02 4.8907E-02 4.5127E-02 4.6074E-02 8.7190E-02 4.9740E-02 1.5459E-01 1.1695E-01 1.1281E-01 1.0056E-01,,,,,,,,
52,,,,,,,,,,5.3000E+01 6.1760E+01 5.8076E-02 5.7676E-02 6.1912E-02 3.1738E-02 3.8842E-02 3.7557E-02 4.3490E-02 4.2594E-02 3.6775E-02 4.9599E-02 5.5988E-02 8.2084E-02 5.1706E-02 4.6619E-02 5.2446E-02 6.6124E-02 1.1497E-01 1.1872E-01 9.5806E-02 1.0126E-01,,,,,,,,
53,,,,,,,,,,5.4000E+01 6.2930E+01 5.3415E-02 4.9988E-02 5.6475E-02 5.6175E-02 2.8620E-02 5.6435E-02 4.1813E-02 5.5107E-02 2.7277E-02 4.3348E-02 3.9664E-02 7.1726E-02 4.2337E-02 5.0402E-02 5.2858E-02 5.6462E-02 6.0418E-02 1.3858E-01 8.7800E-02 1.2775E-01,,,,,,,,
54,,,,,,,,,,5.5000E+01 6.4110E+01 6.0798E-02 4.2256E-02 6.2204E-02 6.0825E-02 5.1124E-02 4.9886E-02 5.1493E-02 5.3238E-02 4.7081E-02 4.1489E-02 3.3378E-02 5.3760E-02 5.5421E-02 5.5492E-02 5.1878E-02 4.8851E-02 5.7426E-02 1.2129E-01 6.9721E-02 1.2262E-01,,,,,,,,
55,,,,,,,,,,5.6000E+01 6.5280E+01 4.8751E-02 4.6192E-02 5.1967E-02 4.2170E-02 5.0514E-02 8.4250E-02 4.5328E-02 6.1627E-02 6.4789E-02 3.8811E-02 3.6591E-02 5.8778E-02 3.5129E-02 7.1505E-02 6.8388E-02 4.2092E-02 8.0462E-02 5.6163E-02 1.3195E-01 9.8200E-02,,,,,,,,
