,Jm1,Jm2,T,Tx,Ty,Tz,h,ju1,ju2,layer,n,p,px,py,pz,up,x*,x1
32,,,,,,,,,,3.3000E+01 3.8230E+01 2.2959E-02 1.2242E-02 1.8936E-02 1.8992E-02 1.9972E-02 2.5555E-02 2.6205E-02 1.8596E-02 2.9949E-02 2.6453E-02 1.1919E-02 1.8682E-02 2.9157E-02 3.7439E-02 2.3055E-02 1.9171E-02 2.5776E-02 1.5639E-02 2.1238E-02 2.5205E-02,,,,,,,,
33,,,,,,,,,,3.4000E+01 3.9410E+01 7.0299E-03 1.8332E-02 1.7157E-02 2.3004E-02 1.8765E-02 2.0224E-02 1.4327E-02 1.8231E-02 1.5339E-02 2.8446E-02 1.8257E-02 3.3319E-02 2.2799E-02 3.8545E-02 3.2225E-02 3.3754E-02 2.2857E-02 2.4673E-02 1.5264E-02 2.8799E-02,,,,,,,,
34,,,,,,,,,,3.5000E+01 4.0580E+01 1.8860E-02 1.7161E-02 1.7228E-02 2.1670E-02 1.8481E-02 2.1626E-02 1.8782E-02 2.7267E-02 1.5959E-02 3.1147E-02 3.2312E-02 1.2081E-02 1.1692E-02 2.6885E-02 2.5457E-02 3.3008E-02 2.9516E-02 2.6079E-02 2.1039E-02 2.8704E-02,,,,,,,,
35,,,,,,,,,,3.6000E+01 4.1760E+01 1.5953E-02 1.6276E-02 1.8757E-02 1.9976E-02 2.0600E-02 1.5871E-02 1.6282E-02 1.6847E-02 1.9852E-02 2.3045E-02 4.0557E-02 3.6061E-02 2.5619E-02 3.0235E-02 2.0211E-02 2.7425E-02 2.4002E-02 2.1484E-02 2.8783E-02 2.5367E-02,,,,,,,,
36,,,,,,,,,,3.7000E+01 4.2930E+01 1.3711E-02 1.7226E-02 1.2862E-02 1.3690E-02 1.2906E-02 2.6037E-02 1.3841E-02 1.3191E-02 2.2676E-02 1.3614E-02 3.3061E-02 3.5106E-02 3.3579E-02 1.9028E-02 2.0973E-02 1.5412E-02 1.2084E-02 1.4746E-02 2.2650E-02 2.2300E-02,,,,,,,,
37,,,,,,,,,,3.8000E+01 4.4110E+01 1.1157E-02 1.7646E-02 1.3855E-02 1.2355E-02 1.1955E-02 1.8930E-02 2.2431E-02 2.0040E-02 2.0804E-02 1.5380E-02 2.1920E-02 4.1950E-02 2.3582E-02 3.8234E-02 2.3820E-02 2.1248E-02 1.7268E-02 1.6592E-02 1.2067E-02 2.1504E-02,,,,,,,,
38,,,,,,,,,,3.9000E+01 4.5290E+01 1.4189E-02 7.5619E-03 1.1744E-02 1.5125E-02 1.7518E-02 2.5858E-02 1.6863E-02 1.9746E-02 2.1740E-02 1.8659E-02 2.6870E-02 3.3581E-02 4.0689E-02 2.2821E-02 3.2714E-02 1.5635E-02 2.1138E-02 2.9488E-02 2.3581E-02 2.5952E-02,,,,,,,,
39,,,,,,,,,,4.0000E+01 4.6460E+01 1.1069E-02 1.5480E-02 1.6530E-02 2.2013E-02 1.2399E-02 1.5800E-02 1.6748E-02 9.1242E-03 1.9734E-02 2.4232E-02 2.0106E-02 2.3456E-02 3.9436E-02 2.4966E-02 3.6638E-02 2.5243E-02 2.3021E-02 2.0690E-02 2.4228E-02 3.0629E-02,,,,,,,,
40,,,,,,,,,,4.1000E+01 4.7640E+01 1.6895E-02 1.4114E-02 1.8611E-02 1.4154E-02 1.7220E-02 1.8202E-02 1.9872E-02 1.4068E-02 1.6950E-02 2.6982E-02 2.4986E-02 2.0375E-02 2.4754E-02 3.2198E-02 2.1603E-02 3.8396E-02 2.4378E-02 2.6720E-02 1.3071E-02 2.0717E-02,,,,,,,,
41,,,,,,,,,,4.2000E+01 4.8820E+01 1.3023E-02 1.5800E-02 1.3964E-02 1.2492E-02 1.7054E-02 1.1974E-02 9.7813E-03 1.6515E-02 2.3204E-02 2.8467E-02 1.6908E-02 1.8323E-02 2.9939E-02 2.7051E-02 2.8816E-02 3.8667E-02 2.3888E-02 2.6656E-02 2.2670E-02 2.2345E-02,,,,,,,,
42,,,,,,,,,,4.3000E+01 4.9990E+01 1.1640E-02 1.7845E-02 1.0779E-02 2.8932E-02 2.1970E-02 1.5451E-02 2.5609E-02 2.3564E-02 2.5114E-02 2.4975E-02 1.7330E-02 1.3181E-02 2.1754E-02 2.1750E-02 1.7502E-02 2.3583E-02 2.1952E-02 2.8998E-02 2.7292E-02 3.1682E-02,,,,,,,,
43,,,,,,,,,,4.4000E+01 5.1170E+01 1.9974E-02 1.3382E-02 1.7406E-02 2.1401E-02 1.6085E-02 1.7410E-02 1.5371E-02 2.4340E-02 1.8651E-02 1.0527E-02 1.7250E-02 1.8274E-02 2.2418E-02 3.4039E-02 2.8741E-02 2.9329E-02 3.7268E-02 4.0910E-02 2.1200E-02 1.6727E-02,,,,,,,,
44,,,,,,,,,,4.5000E+01 5.2350E+01 1.6803E-02 2.0660E-02 1.8523E-02 1.9017E-02 1.4106E-02 1.9727E-02 1.1825E-02 8.3060E-03 1.0100E-02 2.3773E-02 1.2926E-02 1.1050E-02 1.3313E-02 2.9536E-02 3.2462E-02 1.6698E-02 3.4812E-02 2.8452E-02 1.9960E-02 2.8323E-02,,,,,,,,
45,,,,,,,,,,4.6000E+01 5.3520E+01 1.5153E-02 1.2069E-02 1.6498E-02 1.8557E-02 2.7046E-02 6.8635E-03 2.3769E-02 2.2881E-02 1.1441E-02 2.5197E-02 2.0619E-02 2.9215E-02 1.5758E-02 1.2171E-02 4.2575E-02 3.8311E-02 2.0706E-02 3.0238E-02 2.6301E-02 2.4532E-02,,,,,,,,
46,,,,,,,,,,4.7000E+01 5.4700E+01 1.7538E-02 1.7857E-02 1.1541E-02 2.0954E-02 1.6472E-02 2.4640E-02 1.3340E-02 1.9200E-02 1.5864E-02 1.7324E-02 1.8316E-02 1.8492E-02 1.2793E-02 1.7550E-02 4.1236E-02 4.1814E-02 1.5088E-02 2.2962E-02 4.0399E-02 1.8152E-02,,,,,,,,
47,,,,,,,,,,4.8000E+01 5.5870E+01 1.8456E-02 6.5899E-03 1.1833E-02 2.1065E-02 1.8370E-02 1.6991E-02 2.1015E-02 1.0420E-02 1.2769E-02 1.9430E-02 1.9952E-02 1.6924E-02 1.6305E-02 1.8442E-02 2.4902E-02 3.9730E-02 3.5523E-02 2.7215E-02 2.6650E-02 2.1615E-02,,,,,,,,
48,,,,,,,,,,4.9000E+01 5.7050E+01 1.1863E-02 2.5692E-02 1.5796E-02 1.8590E-02 1.7906E-02 1.6667E-02 1.2238E-02 1.5017E-02 1.2516E-02 2.1482E-02 1.0328E-02 2.1108E-02 1.6897E-02 1.1547E-02 2.2198E-02 3.5648E-02 2.4838E-02 2.7181E-02 2.0913E-02 2.9631E-02,,,,,,,,
